TREEID,TAG,START,END,LATIN,COMMON,SITE,LENGTH,WIDTH,SEX,HGT91,DBH91,CAN91
NEMU-01,PP052,,,NEMOPANTHUS MUCRONATA,MOUNTAIN HOLLY,CSRD,8,NA,NA,2.4,NA,S
NEMU-02,PP054,,,NEMOPANTHUS MUCRONATA,MOUNTAIN HOLLY,CSRD,6,NA,NA,1.8,NA,S
NEMU-03,PP077,,,NEMOPANTHUS MUCRONATA,MOUNTAIN HOLLY,SSBN,5,NA,NA,2.1,NA,S
NYSY-02,PP057,,,NYSSA SYLVATICA,BLACK GUM,CSRD,7,NA,NA,NA,5.6,I
NYSY-03,PP059A,,,NYSSA SYLVATICA,BLACK GUM,CSRD,9,NA,NA,NA,NA,C
NYSY-04,PP037A,,,NYSSA SYLVATICA,BLACK GUM,LORD,9,NA,NA,3.6,2.79,S
PIST-01,PP002,,,PINUS STROBUS,WHITE PINE,LORD,9,NA,B,NA,17.02,S
PIST-02,PP030,,,PINUS STROBUS,WHITE PINE,LORD,7,NA,B,NA,17.27,I
PIST-03,PP071,,,PINUS STROBUS,WHITE PINE,SSBN,8,NA,B,NA,16.51,C
PIST-04,PP107,,,PINUS STROBUS,WHITE PINE,SFLD,7,NA,B,NA,52.07,D
POTR-02,PP109,,,POPULUS TREMULOIDES,TREMBLING ASPEN,SFLD,5,NA,NA,NA,10.08,I
POTR-03,PP102,,,POPULUS TREMULOIDES,TREMBLING ASPEN,SFLD,NA,NA,NA,NA,32.51,I
POTR-04,PP099A,,,POPULUS TREMULOIDES,TREMBLING ASPEN,SFLD,7,NA,NA,NA,15.24,C
PRSE-01,PP005,,,PRUNUS SEROTINA,BLACK CHERRY,LORD,10,NA,P,3,NA,S
PRSE-02,PP086,,,PRUNUS SEROTINA,BLACK CHERRY,PHRD,9,NA,P,NA,1.22,S
PRSE-03,PP104,,2001-05-02,PRUNUS SEROTINA,BLACK CHERRY,SFLD,11,NA,P,NA,42.16,C
PRSE-04,PP104A,2001-05-05,,PRUNUS SEROTINA,BLACK CHERRY,SFLD,NA,NA,NA,NA,NA,C
QUAL-02,PP075,,,QUERCUS ALBA,WHITE OAK,SSBN,13,NA,B,NA,9.14,C
QUAL-03,PP093,,,QUERCUS ALBA,WHITE OAK,PHRD,13,NA,B,NA,19.81,C
QUAL-04,PP019A,,,QUERCUS ALBA,WHITE OAK,LORD,15,NA,B,NA,13.97,S
QURU-01,PP016,,,QUERCUS RUBRA,RED OAK,LORD,NA,NA,B,NA,29.72,C
QURU-02,PP061,,,QUERCUS RUBRA,RED OAK,CSRD,17,NA,B,9.1,NA,I
QURU-03,PP084,,,QUERCUS RUBRA,RED OAK,PHRD,NA,NA,B,NA,14.99,C
QURU-04,PP105,,,QUERCUS RUBRA,RED OAK,SFLD,12,NA,B,NA,24.63,C
QUVE-01,PP024,,,QUERCUS VELUTINA,BLACK OAK,LORD,16,NA,B,NA,21.08,C
QUVE-02,PP069,,,QUERCUS VELUTINA,BLACK OAK,SSBN,24,NA,B,NA,1.27,S
QUVE-03,PP081,,,QUERCUS VELUTINA,BLACK OAK,SSBN,NA,NA,B,NA,19.81,C
QUVE-04,PP083,,,QUERCUS VELUTINA,BLACK OAK,SSBN,19,NA,B,NA,6.35,S
RHSP-01,PP034,,,RHODODENDRON SP,RHODODENDRON,LORD,6,NA,P,2.4,NA,S
RHSP-02,PP055,,,RHODODENDRON SP,RHODODENDRON,CSRD,6,NA,P,2,NA,S
RHSP-03,PP076,,,RHODODENDRON SP,RHODODENDRON,SSBN,6,NA,P,2.1,NA,S
SAPU-01,PP009,,,SAMBUCUS PUBENS,RED ELDERBERRY,LORD,34,NA,P,2.1,NA,S
SAPU-02,PP097,,,SAMBUCUS PUBENS,RED ELDERBERRY,PHRD,28,NA,P,1.8,NA,S
SAPU-03,PP013A,,,SAMBUCUS PUBENS,RED ELDERBERRY,LORD,41,NA,P,NA,NA,S
SAPU-04,PP013B,2000-04-07,,SAMBUCUS PUBENS,RED ELDERBERRY,LORD,NA,NA,NA,NA,NA,S
TSCA-01,PP023,,,TSUGA CANADENSIS,HEMLOCK,LORD,1,NA,B,2.2,NA,I
TSCA-04,PP047A,,,TSUGA CANADENSIS,HEMLOCK,CSRD,1,NA,B,NA,4.06,S
TSCA-05,PP082A,,,TSUGA CANADENSIS,HEMLOCK,SSBN,1,NA,B,NA,7.87,S
VACO-01,PP001,,,VACCINIUM CORYMBOSUM,HIGHBUSH BLUEBERRY,LORD,6,NA,P,2.4,NA,S
VACO-02,PP025,,,VACCINIUM CORYMBOSUM,HIGHBUSH BLUEBERRY,LORD,7,NA,P,1.8,NA,S
VACO-03,PP050,,,VACCINIUM CORYMBOSUM,HIGHBUSH BLUEBERRY,CSRD,7,NA,P,1.2,NA,S
VACO-04,PP066,,,VACCINIUM CORYMBOSUM,HIGHBUSH BLUEBERRY,SSBN,7,NA,P,2.4,NA,S
VIAL-01,PP021,,,VIBURNUM ALNIFOLIUM,HOBBLEBUSH,LORD,16,14,P,1.4,NA,S
VIAL-02,PP045,,,VIBURNUM ALNIFOLIUM,HOBBLEBUSH,SWED,12,10,P,0.6,NA,S
VIAL-03,PP064,,,VIBURNUM ALNIFOLIUM,HOBBLEBUSH,CSRD,15,12,P,1.2,NA,S
VICA-01,PP007,,,VIBURNUM CASSINOIDES,WITHEROD,LORD,8,NA,P,2.4,NA,S
VICA-02,PP017,,,VIBURNUM CASSINOIDES,WITHEROD,LORD,8,NA,P,2.4,NA,S
VICA-03,PP044,,,VIBURNUM CASSINOIDES,WITHEROD,SWED,10,NA,P,1.4,NA,S
